,version,ihl,tos,len,id,flags,frag,ttl,proto,chksum,src,dst,options,time,sport,dport,seq,ack,dataofs,reserved,flags,window,chksum,urgptr,options,payload,payload_raw,payload_hex
10,4,5,0,64,0,,0,64,6,3722,172.20.10.5,172.20.10.1,0,1651735050.471243,49397,62078,1833045963,0,11,0,S,65535,16239,0,8,0,b'',b''
11,4,5,0,64,0,,0,64,6,3722,172.20.10.1,172.20.10.5,0,1651735050.476964,62078,49397,2035051105,1833045964,11,0,SA,2796,38942,0,8,0,b'',b''
12,4,5,0,40,31079,,0,64,6,38202,172.20.10.5,172.20.10.1,0,1651735050.477163,49397,62078,1833045964,0,5,0,R,0,4911,0,,0,b'',b''
13,4,5,0,584,23377,,0,255,17,51010,172.20.10.1,224.0.0.251,0,1651735051.084824,5353,5353,,,,,,,879,,,556,"b'\x00\x00\x84\x00\x00\x00\x00\r\x00\x00\x00\x04\x0cvansonlyvans\x07_rdlink\x04_tcp\x05local\x00\x00\x10\x80\x01\x00\x00\x11\x94\x008\x16rpBA=95:0E:12:D0:CB:7E\x0erpVr=340.19.11\x11rpAD=cb7ef4d1b91d\t_services\x07_dns-sd\x04_udp\xc0&\x00\x0c\x00\x01\x00\x00\x11\x94\x00\x02\xc0\x19\xc0\x19\x00\x0c\x00\x01\x00\x00\x11\x94\x00\x02\xc0\x0c\x0cvansonlyvans\x0c_device-info\xc0!\x00\x10\x00\x01\x00\x00\x11\x94\x00\x0c\x0bmodel=D79AP\xc0\x0c\x00!\x80\x01\x00\x00\x00x\x00\x15\x00\x00\x00\x00\xc0\x00\x0cvansonlyvans\xc0&+e8:7f:95:b6:76:4b@fe80::ea7f:95ff:feb6:764b\x0e_apple-mobdev2\xc0!\x00\x10\x80\x01\x00\x00\x11\x94\x00\x01\x00\xc0o\x00\x0c\x00\x01\x00\x00\x11\x94\x00\x02\xc1!\x08903907c4\x04_sub\xc1!\x00\x0c\x00\x01\x00\x00\x11\x94\x00\x02\xc0\xf5\xc1!\x00\x0c\x00\x01\x00\x00\x11\x94\x00\x02\xc0\xf5\xc0\xf5\x00!\x80\x01\x00\x00\x00x\x00\x08\x00\x00\x00\x00~\xf2\xc0\xe6\xc0\xe6\x00\x01\x80\x01\x00\x00\x00x\x00\x04\xac\x14\n\x01\xc0\xe6\x00\x1c\x80\x01\x00\x00\x00x\x00\x10\xfe\x80\x00\x00\x00\x00\x00\x00\xe8\x7f\x95\xff\xfek,d\xc0\xe6\x00\x1c\x80\x01\x00\x00\x00x\x00\x10$\x01I\x003\xb5\x0c\x93\x04=\xfbE\x9d\x8b\\\xcb\xc0\x0c\x00/\x80\x01\x00\x00\x11\x94\x00\t\xc0\x0c\x00\x05\x00\x00\x80\x00@\xc0\xf5\x00/\x80\x01\x00\x00\x11\x94\x00\t\xc0\xf5\x00\x05\x00\x00\x80\x00@\xc0\xe6\x00/\x80\x01\x00\x00\x00x\x00\x08\xc0\xe6\x00\x04@\x00\x00\x08\x00\x00)\x05\xa0\x00\x00\x11\x94\x00\x12\x00\x04\x00\x0e\x00\x86>H\xb7\xa12S\xea\x7f\x95k,d'",b'000084000000000d000000040c76616e736f6e6c7976616e73075f72646c696e6b045f746370056c6f63616c000010800100001194003816727042413d39353a30453a31323a44303a43423a37450e727056723d3334302e31392e313111727041443d636237656634643162393164095f7365727669636573075f646e732d7364045f756470c026000c0001000011940002c019c019000c0001000011940002c00c0c76616e736f6e6c7976616e730c5f6465766963652d696e666fc0210010000100001194000c0b6d6f64656c3d4437394150c00c0021800100000078001500000000c0000c76616e736f6e6c7976616e73c0262b65383a37663a39353a62363a37363a346240666538303a3a656137663a393566663a666562363a373634620e5f6170706c652d6d6f6264657632c0210010800100001194000100c06f000c0001000011940002c121083930333930376334045f737562c121000c0001000011940002c0f5c121000c0001000011940002c0f5c0f500218001000000780008000000007ef2c0e6c0e600018001000000780004ac140a01c0e6001c8001000000780010fe80000000000000e87f95fffe6b2c64c0e6001c80010000007800102401490033b50c93043dfb459d8b5ccbc00c002f8001000011940009c00c00050000800040c0f5002f8001000011940009c0f500050000800040c0e6002f8001000000780008c0e600044000000800002905a00000119400120004000e00863e48b7a13253ea7f956b2c64'
14,4,5,0,177,28629,,0,255,17,46165,172.20.10.1,224.0.0.251,0,1651735053.461260,5353,5353,,,,,,,10162,,,149,"b""\x00\x00\x00\x00\x00\x03\x00\x01\x00\x00\x00\x01\x02lb\x07_dns-sd\x04_udp\x05local\x00\x00\x0c\x00\x01\x0f_companion-link\x04_tcp\xc0\x1c\x00\x0c\x00\x01\x08_homekit\xc07\x00\x0c\x00\x01\xc0'\x00\x0c\x00\x01\x00\x00\x11\x91\x00\x1b\x18Vanshika\xe2\x80\x99s MacBook Air\xc0'\x00\x00)\x05\xa0\x00\x00\x11\x94\x00\x12\x00\x04\x00\x0e\x00\x86>H\xb7\xa12S\xea\x7f\x95k,d""",b'000000000003000100000001026c62075f646e732d7364045f756470056c6f63616c00000c00010f5f636f6d70616e696f6e2d6c696e6b045f746370c01c000c0001085f686f6d656b6974c037000c0001c027000c000100001191001b1856616e7368696b61e2809973204d6163426f6f6b20416972c02700002905a00000119400120004000e00863e48b7a13253ea7f956b2c64'
15,4,5,0,84,47754,,0,64,1,21488,172.20.10.5,172.20.10.1,0,1651735054.228004,,,0,,,,,,37424,,,56,"b'bsz\x0e\x00\x03zE\x08\t\n\x0b\x0c\r\x0e\x0f\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f !""#$%&\'()*+,-./01234567'",b'62737a0e00037a4508090a0b0c0d0e0f101112131415161718191a1b1c1d1e1f202122232425262728292a2b2c2d2e2f3031323334353637'
16,4,5,0,84,7862,,0,64,1,61380,172.20.10.1,172.20.10.5,0,1651735054.236481,,,0,,,,,,39472,,,56,"b'bsz\x0e\x00\x03zE\x08\t\n\x0b\x0c\r\x0e\x0f\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f !""#$%&\'()*+,-./01234567'",b'62737a0e00037a4508090a0b0c0d0e0f101112131415161718191a1b1c1d1e1f202122232425262728292a2b2c2d2e2f3031323334353637'
17,4,5,0,84,56607,,0,64,1,12635,172.20.10.5,172.20.10.1,0,1651735055.233232,,,1,,,,,,32277,,,56,"b'bsz\x0f\x00\x03\x8e^\x08\t\n\x0b\x0c\r\x0e\x0f\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f !""#$%&\'()*+,-./01234567'",b'62737a0f00038e5e08090a0b0c0d0e0f101112131415161718191a1b1c1d1e1f202122232425262728292a2b2c2d2e2f3031323334353637'
18,4,5,0,84,59764,,0,64,1,9478,172.20.10.1,172.20.10.5,0,1651735055.247208,,,1,,,,,,34325,,,56,"b'bsz\x0f\x00\x03\x8e^\x08\t\n\x0b\x0c\r\x0e\x0f\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f !""#$%&\'()*+,-./01234567'",b'62737a0f00038e5e08090a0b0c0d0e0f101112131415161718191a1b1c1d1e1f202122232425262728292a2b2c2d2e2f3031323334353637'
19,4,5,0,84,767,,0,64,1,2940,172.20.10.5,172.20.10.1,0,1651735056.236494,,,2,,,,,,28915,,,56,"b'bsz\x10\x00\x03\x9b~\x08\t\n\x0b\x0c\r\x0e\x0f\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f !""#$%&\'()*+,-./01234567'",b'62737a1000039b7e08090a0b0c0d0e0f101112131415161718191a1b1c1d1e1f202122232425262728292a2b2c2d2e2f3031323334353637'
